,algebraic connectivity (directed),algebraic connectivity (undirected),eigen gap (directed),eigen gap (undirected),node,essential
119,2.705315999482205e-07,-0.0002385116754582972,0,-1,PRASCSi,True
120,-1.251803081608882e-07,-8.803555720873768e-07,0,-1,PRFGS,True
121,-1.972460850790947e-06,-4.180323411284714e-05,0,-1,PSERS_SC,False
122,1.7225551177113552e-07,-4.083487342258774e-06,0,-1,PSP_L,False
123,4.463771813290052e-08,-0.051459424666248706,0,-1,RBFSb,True
124,1.006460622829386e-07,-2.3548868316042304e-06,0,-1,SACCD1,True
125,-5.394929087493283e-08,-0.05145942466626542,0,-1,SACCD2,True
126,6.455786517173268e-08,2.130722779845884e-06,0,-1,SLFAT,False
127,-5.380753274886185e-07,-4.213394818486371e-06,0,-1,THFGLUS,False
128,-2.642861651747097e-08,-6.38618514638839e-06,0,-1,THRA2,False
129,1.3746143000953337e-07,-7.3590786320437696e-06,0,-1,THRA,False
130,4.327621296595918e-07,-0.05145942466624775,0,-1,THRS,True
131,-1.046321270736783e-07,1.0009059488516603e-06,0,-1,TMDK1,False
132,-6.277996527637164e-07,-1.3177664565579283e-05,0,-1,TMDS,True
133,2.3039953692821635e-07,1.0873975136577174e-06,0,-1,TRE6PP,True
134,-1.8209078825465186e-06,-5.204154993027066e-05,0,-1,TRIGS_SC,False
135,8.166837504874902e-07,-6.626558710288999e-06,0,-1,TRPS1,True
136,-1.6900598283353663e-07,-0.05145942466623568,0,-1,TRPTA,False
137,-2.409957915519567e-07,-0.05145942466627594,0,-1,TYRTAi,False
138,-5.529010638424814e-07,-2.118095740937659e-05,0,-1,UNK3,False
139,-2.2522447205852725e-08,-0.051459424666243425,0,-1,VALTA,True
140,6.504378419897039e-08,6.696615729509525e-07,0,-1,ZYMSTESTH_SC,False
141,3.6969763855185245e-06,7.798438553599518e-07,0,-1,EPMGH,False
142,1.2631689116915368e-06,-9.019373206145542e-07,0,-1,GALIGH,False
143,3.337613539711182e-08,-4.05090838521277e-06,0,-1,GGLGH,False
144,1.1560226739551482e-06,-9.844854913509948e-07,0,-1,FBP,False
145,2.9181538377248684e-06,-4.304150668724138e-07,0,-1,FBP26,False
146,4.339483882925821e-07,-5.970805778687804e-07,0,-1,G6PDA,False
147,1.5652920830819261e-06,-2.0560416382556235e-06,0,-1,HEX7,False
148,-1.4366284893291281e-05,-2.4827291766109372e-05,0,-1,MAN6PI,True
149,-1.6287558939620528e-06,-3.567655949623938e-07,0,-1,PFK,False
150,-7.461323690768906e-07,7.600586245798402e-08,0,-1,PFK26,False
151,-1.1059265532173401e-06,-2.5793137545318534e-06,0,-1,TALA,False
152,-1.151105520139084e-06,-4.151643367568403e-06,0,-1,TKT2,False
153,1.3165253014563172e-06,-2.4126310047764554e-06,0,-1,PGL,True
154,2.390904325029475e-06,-1.4259984354517141e-06,0,-1,MI1PP,True
155,5.932385069573609e-07,9.500365344972117e-07,0,-1,RAFGH,False
156,-4.444584734579482e-06,-2.3531710446750287e-06,0,-1,CHLPCTD,False
157,6.350312817895998e-05,-0.0005796558282040107,0,-1,DOLK,False
158,-8.675731160770472e-07,-1.2701978420820437e-05,0,-1,MEVK2,False
159,-2.8178856860405777e-06,-1.7833936174355136e-05,0,-1,NDPK3,False
160,-4.273149712200053e-06,-0.051459424666240955,0,-1,PETHCT,False
161,-6.514497182794066e-06,-3.6852325227682003e-06,0,-1,RNTR3,False
162,1.6224019773469767e-07,-2.376704180212519e-06,0,-1,DHFS,False
163,-1.6830355530350616e-06,-2.6564553496574717e-06,0,-1,GLU5K,False
164,1.2566047371126432e-06,-5.268402468137923e-06,0,-1,GLUCYS,False
165,-1.3733010094385545e-07,-2.3338430919853104e-06,0,-1,GLUDC,False
166,-1.1303834315801176e-07,-2.33680014993104e-06,0,-1,GLUDxi,False
167,-1.1303834435150151e-07,-2.33680014993104e-06,0,-1,GLUDy,False
168,-2.115628849823359e-06,-2.333843108097422e-06,0,-1,GLUTRS,False
